,Jerome H. Powell,Christopher J. Waller,Michael S. Barr,Michelle W. Bowman,Lisa D. Cook,Philip N. Jefferson,Adriana D. Kugler,John C. Williams,Thomas I. Barkin,Raphael W. Bostic,Mary C. Daly,Loretta J. Mester,Susan M. Collins,Austan D. Goolsbee,Jeffrey R. Schmid,Alberto G. Musalem,Lorie K. Logan,Patrick T. Harker,Neel Kashkari
2024-01-03,,,,,,,,,yes,,,,,,,,,,
2024-01-06,,,,,,,,,,,,,,,,,yes,,
2024-01-08,,,,yes,,,,,,,,,,,,,,,
2024-01-10,,,,,,,,yes,,,,,,,,,,,
2024-01-16,,yes,,,,,,,,,,,,,,,,,
2024-01-17,,,yes,yes,,,,,,,,,,,,,,,
2024-01-18,,,,,,,,,,yes,,,,,,,,,
2024-01-31,yes,,,,,,,,,,,,,,,,,,
2024-02-02,,,,yes,,,,,,,,,,,,,,,
2024-02-05,,,,,,,,,,yes,,,,,,,,,
2024-02-06,,,,,,,,,,,,yes,,,,,,,
2024-02-07,,,,yes,,,yes,,,,,,,,,,,,
2024-02-08,,,,,,,,,yes,,,,,,,,,,
2024-02-12,,,,yes,,,,,,,,,,,,,,,
2024-02-14,,,yes,,,,,,,,,,,,,,,,
2024-02-15,,yes,,yes,,,,,,yes,,,,,,,,,
2024-02-16,,,yes,,,,,,,,yes,,,,,,,,
2024-02-22,,yes,,,yes,yes,,,,,,,,,,,,,
2024-02-27,,,yes,yes,,,,,,,,,,,,,,,
2024-02-28,,,,,,,,yes,,,,,,,,,,,
2024-02-29,,,,,,,,,,,,yes,,,,,,,
2024-03-01,,yes,,,,,yes,,,,,,,,,,yes,,
2024-03-05,,,,yes,,,,,,,,,,,,,,,
2024-03-06,,,,,,,,,,,yes,,,,,,,,
2024-03-07,,,,yes,,,,,,,,yes,,,,,,,
2024-03-20,yes,,,,,,,,,,,,,,,,,,
2024-03-25,,,,,yes,,,,,,,,,,,,,,
2024-03-27,,yes,,,,,,,,,,,,,,,,,
2024-04-01,,,,,yes,,,,,,,,,,,,,,
2024-04-02,,,,yes,,,,,,,,yes,,,,,,,
2024-04-03,yes,,,yes,,,yes,,,,,,,,,,,,
2024-04-04,,,,,,,yes,,yes,,,,,,,,,,
2024-04-05,,,,yes,,,,,,,,,,,,,yes,,
2024-04-11,,,,,,,,yes,,,,,,,,,,,
2024-04-12,,,,,,,,,,yes,,,,,,,,,
2024-04-16,,,,,,yes,,,,,,,,,,,,,
